license_plate,make,model,color,owner_username
"TN-07-CQ-4512","Maruti Suzuki","Swift","Red","mohan_r"
"MH-02-FZ-8890","Tata","Nexon EV","Teal","priya_k"
"DL-03-CA-1234","Hyundai","Creta","White","neha_s"
"KA-05-MP-5678","Kia","Seltos","Black","arjun_s"
"TS-09-FT-3321","Mahindra","XUV700","Midnight Blue","vikram_r"
"WB-06-KK-9988","Hyundai","i20","Grey","pooja_c"
"KA-51-MJ-4747","Maruti Suzuki","Baleno","Silver","aditya_p"
"MH-12-RT-8000","Tata","Harrier","Camo Green","deepak_j"
"TN-38-BQ-1111","Volkswagen","Virtus","Yellow","kavita_n"
"DL-01-CT-7654","Mahindra","Thar","Red","karan_t"
"KA-01-FQ-0007","MG","Hector","Burgundy","sunita_g"
"MH-01-DX-2022","Skoda","Kushaq","Orange","rohan_m"
"TN-09-BV-4321","Hyundai","Verna","Black","mohan_r"
"DL-05-CS-9876","Maruti Suzuki","Ertiga","White","sanjay_b"
"KA-03-MY-7890","Toyota","Fortuner","Pearl White","arjun_s"
"MH-43-AD-5555","Kia","Sonet","Red","priya_k"
"WB-20-BE-1999","Honda","City","Silver","pooja_c"
"TS-08-EU-2468","Tata","Punch","Orange","vikram_r"
"KL-01-CX-3000","Toyota","Innova Crysta","Black","kavita_n"
"GJ-05-JS-1212","Skoda","Slavia","Crystal Blue","isha_d"
"PB-10-GH-2024","Jeep","Compass","Techno Green","karan_t"
"HR-26-DJ-0420","Nissan","Magnite","Flare Garnet Red","anjali_v"
"TN-01-AX-7777","BMW","X1","Alpine White","mohan_r"
"KA-04-MM-1337","Mercedes-Benz","C-Class","Obsidian Black","sunita_g"
"MH-14-GU-1995","Renault","Kiger","Caspian Blue","rohan_m"
